login,count
charlesreid1,744
dcppcbot,678
raynamharris,331
ACharbonneau,316
ctb,286
fp9695253,123
vindie13,58
davissn30,51
meredithlgamble,51
jggautier,37
vmbrasseur,34
hharty,28
VrosieB,24
rpwagner,21
owhite,20
KCB13,20
sherry-jenkins,19
cricketsloan,16
victor73,15
briandoconnor,15
cmungall,15
zflamig,15
BenjaminHCCarr,14
RLC-DCPPC,14
wshands,14
AviMaayan,13
jonathancrabtree,13
alisonleaf,13
jessieclyons,12
aegururaj,10
bilafer,9
david4096,8
NickolausDS,8
SusannaSansone,8
jmcmurry,7
bheavner,7
mfenner,6
luizirber,6
robes,6
proccaserra,6
jyttri,6
keanderka,6
sarpera,6
theferrit32,6
sulakhe,6
eabell,5
karenword,4
webermn,4
simont,4
standage,3
nsuvarnaiari,3
agbeltran,3
swzCuroverse,3
mercecrosas,3
rayi113,3
amahurkar,2
carlkesselman,2
gversmee,2
ianfoster,2
lliming,2
rspahnn,2
kevinwilson,2
yammasnake,2
cwhicher,2
stevencox,2
hannahblau,2
jonathonl,1
mellybelly,1
sethi7ik,1
brooksph,1
djc183,1
karlcz,1
gneglur,1
danielskatz,1
alexjones1725,1
rossrepo,1
jaklenk,1
sarala,1
micheldumontier,1
anitawaard,1
mmtrun,1
meganwojciechowicz,1
